model,dim_d,C_d,weat_d
baseline,8,0.12968340692207875,-0.4192113196234974
baseline,16,0.14810371153313107,-1.0395185531945343
baseline,32,0.188915860984863,0.5542693901351007
baseline,64,0.25600151783042174,0.8410378813773415
baseline,128,0.44966377243618044,0.5152809760114851
baseline,300,1.0,0.6914818791840592
mrl,8,0.08117003209159242,-0.5369549233282255
mrl,16,0.12490869129210247,-1.2810258916421082
mrl,32,0.16534604621272558,-0.023416938059951733
mrl,64,0.23784020373589723,0.7000832278570295
mrl,128,0.43811791968073244,0.33267227590556986
mrl,300,1.0,0.6446439345136613
