dim_d,lambda_2,mean_bias,semantic_sim,combined
8,0.0,2.7400570705282417,0.999999999607249,-1.7400570709209928
8,0.2,2.5864873004925992,0.9953085751458999,-1.5911787253466994
8,0.4,2.4584159861002566,0.9784894333376788,-1.4799265527625778
8,0.6,2.3614302425771196,0.9448126154815434,-1.4166176270955764
8,0.8,2.3015436125120785,0.8905180762388812,-1.4110255362731974
8,1.0,2.2837388198931228,0.8160112528656962,-1.4677275670274266
16,0.0,3.162464485812953,1.0000000011790078,-2.1624644846339454
16,0.2,3.03640057538662,0.9967529120390239,-2.039647663347596
16,0.4,2.9324148250003237,0.98574300779125,-1.9466718172090736
16,0.6,2.8537835364832698,0.9650238991771403,-1.8887596373061295
16,0.8,2.8038695756187813,0.9330247350263561,-1.8708448405924252
16,1.0,2.7855674750040382,0.8895097289624013,-1.8960577460416368
32,0.0,3.1837426287409465,1.000000000467144,-2.1837426282738024
32,0.2,3.083323417997626,0.9978273638697134,-2.0854960541279124
32,0.4,2.999128661065098,0.9907304704985828,-2.008398190566515
32,0.6,2.933199949093329,0.9778248436178488,-1.95537510547548
32,0.8,2.888262867250893,0.9583432101351346,-1.9299196571157584
32,1.0,2.8680380782654264,0.9321016679768703,-1.9359364102885561
64,0.0,3.155756126719331,0.9999999992922144,-2.155756127427116
64,0.2,3.01459463396835,0.9986002610434226,-2.0159943729249274
64,0.4,2.897102535453356,0.994103938672662,-1.9029985967806942
64,0.6,2.8066329551988853,0.986011184570611,-1.8206217706282743
64,0.8,2.7477207146643874,0.9738304953409939,-1.7738902193233934
64,1.0,2.7271568822381003,0.9574201037251862,-1.769736778512914
128,0.0,3.222025020296075,0.9999999988588194,-2.2220250214372554
128,0.2,3.0243296070610803,0.9989848303432957,-2.025344776717785
128,0.4,2.8546462626967735,0.99572284496313,-1.8589234177336436
128,0.6,2.7184554229755746,0.9898207084773725,-1.7286347144982022
128,0.8,2.623134571890534,0.9808681364627946,-1.6422664354277394
128,1.0,2.5839491010308726,0.9687468971033685,-1.6152022039275042
300,0.0,3.269537356192625,0.9999999973242425,-2.2695373588683823
300,0.2,2.6156298849541,0.9992454124300495,-1.6163844725240506
300,0.4,1.9617224137155749,0.996809919063972,-0.9649124946516029
300,0.6,1.3078149424770498,0.9923749154376641,-0.3154400270393857
300,0.8,0.6539074712385244,0.9856089189464188,0.33170144770789434
300,1.0,3.0328396976870818e-15,0.9764109846464931,0.9764109846464901
