model,dim_d,alignment_error,C_d,var_full,var_d
baseline,64,0.28887686,0.08912541352951378,0.18611999797916273,0.016588021786005148
baseline,128,0.26242453,0.12959548313226793,0.18611999797916273,0.024120311058686325
baseline,256,0.21133795,0.26961727816915226,0.18611999797916273,0.050181167267989976
baseline,384,0.16008888,0.5019500397115452,0.18611999797916273,0.09342294037675344
baseline,512,0.100073196,0.6723246217032907,0.18611999797916273,0.1251330572327578
baseline,768,0.0,1.0,0.18611999797916273,0.18611999797916273
mrl,64,0.28432027,0.11047854410886276,0.19538433902743899,0.021585777317423914
mrl,128,0.2587275,0.19840168951271347,0.19538433902743899,0.0387645829673687
mrl,256,0.2080776,0.3799457249520952,0.19538433902743899,0.07423544433606626
mrl,384,0.15946934,0.5568077806171339,0.19538433902743899,0.10879152018121395
mrl,512,0.09799507,0.6987344419209862,0.19538433902743899,0.13652176709043834
mrl,768,0.0,1.0,0.19538433902743899,0.19538433902743899
