model,dim_d,alignment_error,C_d,var_full,var_d
baseline,64,0.28779382,0.41104406944604444,0.09641585360036918,0.0396311648230098
baseline,128,0.26021177,0.4797646358750721,0.09641585360036918,0.04625691689516538
baseline,256,0.21209972,0.7403234045684665,0.09641585360036918,0.07137891299180014
baseline,384,0.16383798,1.304941076918845,0.09641585360036918,0.12581700782931546
baseline,512,0.094194725,0.8088766783857385,0.09641585360036918,0.07798853540399227
baseline,768,0.0,1.0,0.09641585360036918,0.09641585360036918
mrl,64,0.28691074,0.17428379278389317,0.12175400028610257,0.02121974895647317
mrl,128,0.26059395,0.32255957301961946,0.12175400028610257,0.03927291834571587
mrl,256,0.21336892,0.6882359747037171,0.12175400028610257,0.08379548306098246
mrl,384,0.16769719,1.0710283571971462,0.12175400028610257,0.1304019869086053
mrl,512,0.093851425,0.989775083404152,0.12175400028610257,0.12050907578796632
mrl,768,0.0,1.0,0.12175400028610257,0.12175400028610257
