ss,lms,icat,dim_d,model
54.078978481910625,71.83731378576496,65.97685664315703,64,MRL
54.480964767084416,72.79498699456136,66.2711515557014,128,MRL
54.33908725467014,74.95861905887918,68.45357928715805,256,MRL
53.322298415701106,75.30148971388036,70.2980093143532,384,MRL
53.25135965949397,74.48569401749823,69.64209840274013,512,MRL
53.62969969259872,75.98723102388271,70.47101444210641,768,MRL
51.78529203121305,64.71979191298179,62.40891733770153,64,Non-MRL
53.74793095294395,68.20761409316624,63.09486553144156,128,Non-MRL
52.873019626389215,71.37621187041854,67.274906719198,256,Non-MRL
52.352802080870184,72.38117758335304,68.97520587867409,384,Non-MRL
52.11633956017971,71.56538188697091,68.53624891043562,512,Non-MRL
52.541972097422565,73.49255143059825,69.75623112849878,768,Non-MRL
