dim_d,lambda_2,mean_bias,semantic_sim,combined
64,0.0,0.668081476846162,1.000000009641928,0.3319185327957659
64,0.5,0.5672309385503039,0.9557131318485036,0.38848219329819966
64,0.8,0.5816902816295624,0.8846934323801714,0.303003150750609
64,1.0,0.6230363771319389,0.8234946815406575,0.2004583044087186
64,1.2,0.6846901112619568,0.7565497287056026,0.07185961744364577
64,1.5,0.8041317313909531,0.6546020376331666,-0.14952969375778646
64,2.0,1.0454062652938507,0.5009037855026477,-0.544502479791203
128,0.0,0.706911658977761,0.9999999982469222,0.2930883392691612
128,0.5,0.5275469623944339,0.9548884647734025,0.4273415023789686
128,0.8,0.5823434021543054,0.8822253793478012,0.29988197719349585
128,1.0,0.6775304311338592,0.8194458212922601,0.14191539015840082
128,1.2,0.8020288830294329,0.7506714664837894,-0.05135741654564352
128,1.5,1.020067060694975,0.6458988540312823,-0.37416820666369277
128,2.0,1.4232757678803276,0.48839182766866596,-0.9348839402116617
256,0.0,0.8216993190786418,1.0000000113950056,0.1783006923163638
256,0.5,0.6452432594755116,0.9570182456689722,0.31177498619346056
256,0.8,0.7785555290825227,0.8898205774671891,0.11126504838466644
256,1.0,0.9383488271166297,0.8325291416224312,-0.10581968549419851
256,1.2,1.1303428578026153,0.7700626078773948,-0.36028024992522056
256,1.5,1.4504753281088436,0.67490934975007,-0.7755659783587736
256,2.0,2.0228563520838234,0.5309059118085048,-1.4919504402753185
384,0.0,0.8772422101567773,1.0000000157777,0.12275780562092276
384,0.5,0.7108190344537005,0.951368832412888,0.24054979795918752
384,0.8,0.9374852136654013,0.8767966899801704,-0.06068852368523092
384,1.0,1.1656705421559952,0.8146365626769907,-0.3510339794790045
384,1.2,1.4251978257123161,0.7482111151604092,-0.676986710551907
384,1.5,1.8444018732098972,0.649334084461717,-1.1950677887481802
384,2.0,2.578218574033064,0.5038856019211166,-2.0743329721119474
512,0.0,2.7333122000974766,1.0000000122715444,-1.733312187825932
512,0.5,1.6120979259995853,0.9762478269198361,-0.6358500990797492
512,0.8,0.9591469786622945,0.9313327109112459,-0.02781426775104856
512,1.0,0.564422383247053,0.8857922764385447,0.3213698931914918
512,1.2,0.3634596997324158,0.8280971304458731,0.46463743071345726
512,1.5,0.7971321401350638,0.7233526329783833,-0.07377950715668058
512,2.0,1.8824195853051018,0.5279473870554391,-1.3544721982496628
768,0.0,2.6417080689879024,1.0000000166542389,-1.6417080523336636
768,0.5,1.32085400381509,0.9708238971583983,-0.35003010665669165
768,0.8,0.5283415475312401,0.9173618257045746,0.3890202781733345
768,1.0,2.5199341865465936e-07,0.8650793985408896,0.8650791465474709
768,1.2,0.5283417605301913,0.8012257025522345,0.27288394202204314
768,1.5,1.32085404325934,0.6908757248345543,-0.6299783184247858
768,2.0,2.64170805496328,0.4987435391282334,-2.1429645158350468
