Prefix_Dim,Lambda_2,Non-MRL_MAC_Before,Non-MRL_MAC_After,MRL_MAC_Before,MRL_MAC_After,Non-MRL_STS_Before,Non-MRL_STS_After,MRL_STS_Before,MRL_STS_After
64,0.1,0.089668654,0.025420805,0.044256076,0.01044276,0.8395939495195072,0.7245444247914636,0.8572368512470856,0.7493304228148725
64,0.5,0.089668654,0.027735429,0.044256076,0.009792904,0.8395939495195072,0.7295322934936092,0.8572368512470856,0.7437377285638354
64,0.8,0.089668654,0.02126666,0.044256076,0.0042402414,0.8395939495195072,0.7203999793621202,0.8572368512470856,0.7565606929291142
64,1.0,0.089668654,0.013671741,0.044256076,0.006199801,0.8395939495195072,0.7502871100850748,0.8572368512470856,0.7174424672826795
128,0.1,0.06402866,0.0055129323,0.035005063,0.0071763066,0.8606663679763986,0.8002781875118352,0.8678199850128302,0.7778716453584499
128,0.5,0.06402866,0.021439733,0.035005063,0.005895577,0.8606663679763986,0.744049341539904,0.8678199850128302,0.767780889077183
128,0.8,0.06402866,0.012459645,0.035005063,0.0071836854,0.8606663679763986,0.7552245603344371,0.8678199850128302,0.7591561715886092
128,1.0,0.06402866,0.0072344276,0.035005063,0.0063762544,0.8606663679763986,0.7899104212725946,0.8678199850128302,0.77308476551796
256,0.1,0.047632772,0.002180344,0.0421841,0.001602506,0.8726802392566233,0.8146222543503306,0.8751157124676185,0.81216559679326
256,0.5,0.047632772,0.008327215,0.0421841,0.0056324685,0.8726802392566233,0.7890283754777573,0.8751157124676185,0.7687719785236699
256,0.8,0.047632772,0.009062904,0.0421841,0.0062243794,0.8726802392566233,0.7701437040822547,0.8751157124676185,0.7609379913236
256,1.0,0.047632772,0.0106631275,0.0421841,0.003845011,0.8726802392566233,0.7826358319202873,0.8751157124676185,0.7651017946992397
384,0.1,0.047174755,0.00229252,0.034494855,0.0026038303,0.8746165840092857,0.8225668594771156,0.8762166171419553,0.8117549747915193
384,0.5,0.047174755,0.0064340485,0.034494855,0.011212801,0.8746165840092857,0.7665091737856168,0.8762166171419553,0.7151595095534453
384,0.8,0.047174755,0.008131416,0.034494855,0.0023920615,0.8746165840092857,0.7166279711682615,0.8762166171419553,0.632628890320604
384,1.0,0.047174755,0.010735836,0.034494855,0.0031880962,0.8746165840092857,0.6943724646865135,0.8762166171419553,0.6001154525794985
512,0.1,0.040418025,0.0016205108,0.029967178,0.0031197383,0.8752467392484329,0.8052409418263647,0.8766161405493433,0.773869377471887
512,0.5,0.040418025,0.0067203785,0.029967178,0.004228559,0.8752467392484329,0.6112888361013854,0.8766161405493433,0.5052214131647145
512,0.8,0.040418025,0.0028572148,0.029967178,0.0013928413,0.8752467392484329,0.47092277160804796,0.8766161405493433,0.42540154802254715
512,1.0,0.040418025,0.0015658537,0.029967178,0.0008360942,0.8752467392484329,0.49991893352205574,0.8766161405493433,0.4177502303176982
768,0.1,0.037887357,0.005324411,0.02733749,0.0013311486,0.8773118954778898,0.5826230141740045,0.8782799317331305,0.5351593568636679
768,0.5,0.037887357,0.00040602684,0.02733749,5.814764e-07,0.8773118954778898,0.404180926616404,0.8782799317331305,0.21873779883455585
768,0.8,0.037887357,7.858542e-06,0.02733749,0.0001421041,0.8773118954778898,0.38820369262580556,0.8782799317331305,0.340343684465593
768,1.0,0.037887357,0.00046938128,0.02733749,1.1444092e-06,0.8773118954778898,0.42745501728143853,0.8782799317331305,0.2933664321460731
