model,dim_d,alignment_error,C_d,var_full,var_d
baseline,64,0.29028973,0.047171423323974615,0.07469843571123254,0.003523631532573253
baseline,128,0.26445842,0.11833792462416523,0.07469843571123254,0.008839657854738888
baseline,256,0.21912901,0.2721756591391009,0.07469843571123254,0.020331095976364472
baseline,512,0.11705531,0.6362588021258748,0.07469843571123254,0.04752753722630548
baseline,768,0.0,1.0,0.07469843571123254,0.07469843571123254
mrl,64,0.2845339,0.10317230771083355,11.286866770322398,1.1644920915188846
mrl,128,0.2557791,0.16875135052973628,11.286866770322398,1.9046740107411073
mrl,256,0.20490508,0.3584546728522261,11.286866770322398,4.045830135682577
mrl,512,0.10543598,0.6999699792439894,11.286866770322398,7.900467898952242
mrl,768,0.0,1.0,11.286866770322398,11.286866770322398
